Study	Taxon	TaxID	Relative Abundance	Positive Share	Number of Positive/Total
Brinch 2020	Caliciviridae	11974	0.0	0.0	0/322
Brinch 2020	Polyomaviridae	151341	0.015254337306739054	0.68	218/322
Brinch 2020	Influenza A	11320	0.0	0.0	0/322
Brinch 2020	Adenoviridae	10508	0.21544907352767614	0.93	298/322
Spurbeck 2023	Caliciviridae	11974	0.013852459016393443	0.4	22/55
Spurbeck 2023	Polyomaviridae	151341	0.0017759562841530056	0.18	10/55
Spurbeck 2023	Influenza A	11320	0.0	0.0	0/55
Spurbeck 2023	Adenoviridae	10508	0.051092896174863386	0.56	31/55
CC 2021	Caliciviridae	11974	8.854074436724618e-05	0.61	11/18
CC 2021	Polyomaviridae	151341	0.0010676972114873804	0.5	9/18
CC 2021	Influenza A	11320	0.0	0.0	0/18
CC 2021	Adenoviridae	10508	0.0005859313965479526	0.5	9/18
Rothman 2021	Caliciviridae	11974	0.060465026902382785	0.76	275/363
Rothman 2021	Polyomaviridae	151341	0.0009319754035357417	0.29	105/363
Rothman 2021	Influenza A	11320	7.49423520368947e-05	0.04	13/363
Rothman 2021	Adenoviridae	10508	0.00029208301306687164	0.17	63/363
